Date_Time_1,vo2_1,vo2_2,vo2_3,vo2_4,vo2_5,vo2_6,vco2_1,vco2_2,vco2_3,vco2_4,vco2_5,vco2_6,rq_1,rq_2,rq_3,rq_4,rq_5,rq_6,kcal_hr_1,kcal_hr_2,kcal_hr_3,kcal_hr_4,kcal_hr_5,kcal_hr_6,vh2o_1,vh2o_2,vh2o_3,vh2o_4,vh2o_5,vh2o_6
06-April-2022 09:33:08,0.6021709,-3.526226E-02,0.3698388,-2.078533E-02,0.509943,2.649799,0.4126657,7.047032E-03,0.2537451,9.522993E-03,0.3545902,2.501421,0.6853712,-0.2581436,0.6863825,-0.4870215,0.6955601,0.9442099,0.1697738,-7.870473E-03,0.1042906,-4.282954E-03,0.1441061,0.7925657,1.872749E-03,5.544309E-04,1.95271E-03,-1.521837E-03,1.100332E-02,4.413793E-02
06-April-2022 09:35:08,0.6119166,-2.815121E-02,0.325911,-9.04255E-03,0.5096591,2.558554,0.4561392,1.077437E-02,0.2139213,1.131406E-02,0.3424514,2.31864,0.746044,-0.1457557,0.6565109,-0.6799889,0.6709407,0.9063327,0.1748296,-5.941649E-03,9.126074E-02,-1.393206E-03,0.1432392,0.7588608,1.729246E-02,6.410548E-03,5.149111E-03,3.524978E-03,1.338797E-02,5.309512E-02
06-April-2022 09:37:28,0.6374664,7.554417E-02,0.3583732,-6.658111E-03,0.5923731,2.489039,0.4398274,8.056261E-02,0.2402155,9.260061E-03,0.3887469,2.344899,0.6904153,0.9450048,0.6704447,-1.043452,0.6566476,0.9423416,0.1799222,2.320931E-02,0.1006816,-9.598793E-04,0.1658698,0.7441656,2.412727E-02,1.570937E-02,8.843496E-03,5.623815E-03,1.955632E-02,6.192346E-02
06-April-2022 09:39:45,0.6377355,,,,,,0.4397029,,,,,,0.6898955,,,,,,0.1799776,,,,,,2.419052E-02,,,,,
