Date_Time_1,vo2_1,vo2_2,vo2_3,vo2_4,vo2_5,vo2_6,vco2_1,vco2_2,vco2_3,vco2_4,vco2_5,vco2_6,rq_1,rq_2,rq_3,rq_4,rq_5,rq_6,kcal_hr_1,kcal_hr_2,kcal_hr_3,kcal_hr_4,kcal_hr_5,kcal_hr_6,vh2o_1,vh2o_2,vh2o_3,vh2o_4,vh2o_5,vh2o_6
04-April-2022 06:48:45,0.3683925,5.445366E-03,0.3032104,-4.875988E-03,0.3935771,2.783719,0.2617171,1.904254E-02,0.2352517,2.199756E-02,0.3023765,2.393698,0.7110364,2.053175,0.7764422,-1.642406,0.7673393,0.8598369,0.1044776,2.551274E-03,8.730843E-02,3.06782E-04,0.1131309,0.8170839,0.0104061,1.784895E-04,1.984876E-02,3.219018E-03,2.044277E-02,6.403905E-03
04-April-2022 06:50:45,0.378271,-2.784314E-02,0.255428,-1.688722E-02,0.3640104,2.464988,0.2979683,1.112286E-02,0.1852568,1.225149E-02,0.26674,2.153599,0.7874911,-0.4191652,0.7250247,-1.203185,0.7359125,0.8742421,0.1091088,-5.837832E-03,0.0727313,-3.180142E-03,0.1037748,0.7257839,1.960205E-02,8.67669E-03,1.022476E-02,1.039076E-02,2.037516E-02,1.083609E-02
04-April-2022 06:53:05,0.4098962,4.511409E-02,0.264031,1.877772E-02,0.3618631,2.32111,0.3108534,6.044897E-02,0.1871682,3.448312E-02,0.2434499,2.051882,0.7613521,5.458326E-02,0.7104082,-0.1507515,0.6728153,0.8840948,0.1175523,1.467907E-02,7.485324E-02,6.728479E-03,0.1017279,0.6850124,2.125303E-02,1.657432E-02,1.598377E-02,0.0136345,1.498851E-02,0.0290739
04-April-2022 06:55:23,0.4098671,,,,,,0.3107297,,,,,,0.7610992,,,,,,0.1175372,,,,,,2.125076E-02,,,,,
