Date_Time_1,vo2_1,vo2_2,vo2_3,vo2_4,vo2_5,vo2_6,vco2_1,vco2_2,vco2_3,vco2_4,vco2_5,vco2_6,rq_1,rq_2,rq_3,rq_4,rq_5,rq_6,kcal_hr_1,kcal_hr_2,kcal_hr_3,kcal_hr_4,kcal_hr_5,kcal_hr_6,vh2o_1,vh2o_2,vh2o_3,vh2o_4,vh2o_5,vh2o_6
05-April-2022 09:50:04,0.4823824,7.835014E-02,0.5213634,0.2377916,0.8038772,3.186705,0.3313898,-6.43366E-03,0.253819,-7.022174E-03,0.3414268,2.361563,0.6870229,-8.701153E-02,0.4869516,-2.971145E-02,0.4247023,0.7406633,0.1360552,1.809974E-02,0.140125,0.0557622,0.2127419,0.9102353,-3.195277E-03,2.2924E-04,1.059464E-02,7.250939E-03,2.409065E-02,6.215338E-02
05-April-2022 09:52:04,0.8640445,0.3719026,0.6168028,0.3146429,0.6585845,2.994339,0.3496435,-3.151717E-03,0.1700813,-4.492876E-03,0.2405706,2.33975,0.4088855,-0.0121354,0.2792948,-1.346067E-02,0.367536,0.7837809,0.2276469,8.773825E-02,0.1572258,7.410385E-02,0.1717856,0.8633055,2.759615E-02,2.108953E-02,1.962022E-02,1.356923E-02,2.169912E-02,8.218703E-02
05-April-2022 09:54:24,0.7238085,3.028186E-02,0.2641201,-0.1968003,-1.334213E-02,2.464914,0.4658189,2.566326E-03,0.1993759,8.553995E-04,0.3328089,2.474814,0.646994,-0.4503416,0.7410047,-5.227336E-03,1.540841,0.9334927,0.2018732,7.330749E-03,7.568443E-02,-4.647863E-02,1.866351E-02,0.7470822,3.086167E-02,1.129231E-02,3.098236E-04,-7.098665E-03,-1.697978E-02,1.468438E-02
05-April-2022 09:56:44,-0.5439993,-1.156778,-0.9738629,-1.525819,-1.339214,-0.2427616,0.2964618,2.727752E-02,0.2481378,4.007141E-02,0.3750046,1.367354,-0.5208397,-2.889202E-02,-0.2549872,-2.626154E-02,-0.2772301,-13.92357,-0.1089609,-0.2717216,-0.2138132,-0.3581361,-0.2917852,3.333425E-02,-1.573754E-02,-4.934806E-02,-5.033209E-02,-6.243015E-02,-6.583956E-02,-4.467317E-02
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
