Date_Time_1,vo2_1,vo2_2,vo2_3,vo2_4,vo2_5,vco2_1,vco2_2,vco2_3,vco2_4,vco2_5,rq_1,rq_2,rq_3,rq_4,rq_5,kcal_hr_1,kcal_hr_2,kcal_hr_3,kcal_hr_4,kcal_hr_5,vh2o_1,vh2o_2,vh2o_3,vh2o_4,vh2o_5
31-March-2022 16:55:56,0.1945709,3.189829E-02,0.1567372,1.694028E-02,0.1709402,0.1287624,1.634338E-02,9.734752E-02,7.465716E-03,0.1212502,0.6637267,0.5227607,0.6212192,0.52051,0.7109178,5.455291E-02,8.627217E-03,4.352206E-02,4.501123E-03,4.846669E-02,-9.840952E-03,-8.832803E-03,-1.184593E-03,-5.254557E-03,4.698224E-03
31-March-2022 16:57:36,0.1969325,1.185708E-02,0.164803,0.0029208,0.1604956,0.1317294,1.399647E-02,0.1100818,5.46757E-04,0.10046,0.6692225,0.1450802,0.6657303,-0.7046645,0.6250975,5.530822E-02,3.689866E-03,4.649509E-02,6.870709E-04,4.461731E-02,3.200209E-03,1.168677E-03,5.080729E-03,-3.043205E-03,1.095491E-02
31-March-2022 16:59:36,0.1882381,5.240228E-03,0.1783122,9.97094E-03,0.1285907,0.1216512,-7.115223E-03,0.1000513,-6.605548E-03,6.718348E-02,0.6465034,-2.231762,0.5617091,-0.9995906,0.5227969,5.258355E-02,7.669381E-04,0.0488031,1.919384E-03,3.486486E-02,1.011018E-02,2.392529E-03,1.105006E-02,6.396431E-03,1.588447E-02
31-March-2022 17:01:12,0.1878318,,,,,0.1213819,,,,,0.6464691,,,,,5.246961E-02,,,,,1.009981E-02,,,,
