Date_Time_1,vo2_1,vo2_2,vo2_3,vo2_4,vo2_5,vo2_6,vco2_1,vco2_2,vco2_3,vco2_4,vco2_5,vco2_6,rq_1,rq_2,rq_3,rq_4,rq_5,rq_6,kcal_hr_1,kcal_hr_2,kcal_hr_3,kcal_hr_4,kcal_hr_5,kcal_hr_6,vh2o_1,vh2o_2,vh2o_3,vh2o_4,vh2o_5,vh2o_6
03-April-2022 16:53:57,0.3414333,1.019088E-02,0.206162,-2.393348E-02,0.372067,2.840692,0.2327492,3.587738E-02,0.1491552,1.083196E-02,0.2881428,2.315201,0.6819462,-1.105247,0.723493,-0.5340769,0.7743051,0.8155183,9.618056E-02,4.790558E-03,0.058647,-4.940502E-03,0.1070969,0.8253466,-2.517286E-03,1.102518E-03,5.835114E-03,4.045178E-03,1.305886E-02,-1.107176E-03
03-April-2022 16:55:57,0.35211,-1.348617E-02,0.1846983,-1.735526E-02,0.3608687,2.461282,0.2621216,1.029752E-02,0.1173813,3.885002E-03,0.2436779,1.957482,0.748576,-1.081991,0.6423842,-0.2642964,0.67895,0.7958949,0.1006543,-2.502559E-03,5.148517E-02,-3.818667E-03,0.1016818,0.7118933,1.925924E-02,5.281186E-03,0.0134387,1.671592E-03,1.574885E-02,1.317624E-02
03-April-2022 16:58:17,0.3562596,4.117116E-02,0.2102794,-1.169494E-02,0.3236928,1.842333,0.239285,4.189729E-02,0.114408,1.085113E-03,0.2089909,1.48031,0.6738875,0.1850848,0.5452392,-0.3091382,0.6460826,0.8039091,0.1001198,1.251564E-02,5.731478E-02,-2.693378E-03,9.040904E-02,0.5338714,2.346202E-02,2.022197E-02,1.692478E-02,1.028468E-02,4.710279E-03,-5.620564E-03
03-April-2022 17:00:34,0.3565286,,,,,,0.2391223,,,,,,0.6728887,,,,,,0.1001729,,,,,,2.352748E-02,,,,,
