Date_Time_1,vo2_1,vo2_2,vo2_3,vo2_4,vo2_5,vco2_1,vco2_2,vco2_3,vco2_4,vco2_5,rq_1,rq_2,rq_3,rq_4,rq_5,kcal_hr_1,kcal_hr_2,kcal_hr_3,kcal_hr_4,kcal_hr_5,vh2o_1,vh2o_2,vh2o_3,vh2o_4,vh2o_5
30-March-2022 10:56:26,0.1203871,2.553128E-03,0.1077547,-1.317207E-02,0.1007731,9.364006E-02,1.069719E-02,9.209071E-02,-3.272741E-03,6.630136E-02,0.7787899,0.3183013,0.8599143,0.2308171,0.6597601,0.0346831,1.313578E-03,3.159073E-02,-3.331848E-03,2.822857E-02,-2.967927E-02,-9.586966E-03,-3.455645E-02,-0.0118061,-2.931153E-02
30-March-2022 10:58:06,0.1007222,-1.767931E-02,0.1171179,-6.283544E-03,0.0891504,8.676276E-02,3.873224E-03,8.912693E-02,3.517776E-03,0.072606,0.8599764,-0.2431199,0.7641157,-0.8980678,0.8197747,2.957434E-02,-3.923423E-03,3.360816E-02,-1.252367E-03,2.589864E-02,-3.707085E-02,-1.586118E-02,-3.919527E-02,6.1099E-04,-2.581903E-02
30-March-2022 11:00:03,0.1008004,,,,,8.683011E-02,,,,,0.8599764,,,,,2.959729E-02,,,,,-3.709962E-02,,,,
