Date_Time_1,vo2_1,vo2_2,vo2_3,vo2_4,vo2_5,vo2_6,vco2_1,vco2_2,vco2_3,vco2_4,vco2_5,vco2_6,rq_1,rq_2,rq_3,rq_4,rq_5,rq_6,kcal_hr_1,kcal_hr_2,kcal_hr_3,kcal_hr_4,kcal_hr_5,kcal_hr_6,vh2o_1,vh2o_2,vh2o_3,vh2o_4,vh2o_5,vh2o_6
04-April-2022 15:06:59,0.5129765,2.507469E-02,0.358756,7.043982E-02,0.5660991,2.758207,0.3909459,0.0286053,0.2359568,6.400491E-02,0.4007422,2.410293,0.7621249,1.194967,0.6588513,0.9102521,0.7081096,0.8738574,0.1472416,7.82741E-03,0.1004895,2.090356E-02,0.160453,0.8121526,-5.750866E-03,-5.256761E-03,-8.624967E-04,-2.166882E-03,1.532843E-02,-2.831817E-03
04-April-2022 15:08:59,0.4147503,1.929838E-02,0.2652393,7.35772E-03,0.2696608,1.953713,0.328084,2.699997E-02,0.1927632,1.214832E-02,0.2091174,1.793549,0.7921241,1.55534,0.7275576,3.508341,0.7785534,0.9187862,0.1198435,6.355014E-03,7.551025E-02,2.545969E-03,7.764103E-02,0.5809949,8.941542E-03,-4.13907E-04,-5.060281E-03,-2.260028E-03,5.264123E-04,-1.792021E-03
04-April-2022 15:11:19,0.4659143,-1.680412E-02,0.2626231,1.415955E-02,0.2878256,2.874719,0.348735,8.411824E-03,0.1824302,2.788045E-02,0.1875907,2.49707,0.747337,-0.1468436,0.694973,-2.361331,0.651702,0.8687582,0.1333122,-3.415293E-03,7.420593E-02,5.198313E-03,8.050777E-02,0.8454615,1.239746E-02,8.854785E-03,-6.357342E-03,-4.567685E-03,-1.544629E-03,5.199654E-03
04-April-2022 15:13:36,0.4662822,,,,,,0.3488454,,,,,,0.7469177,,,,,,0.1334065,,,,,,1.242423E-02,,,,,
