Date_Time_1,vo2_1,vo2_2,vo2_3,vo2_4,vo2_5,vo2_6,vco2_1,vco2_2,vco2_3,vco2_4,vco2_5,vco2_6,rq_1,rq_2,rq_3,rq_4,rq_5,rq_6,kcal_hr_1,kcal_hr_2,kcal_hr_3,kcal_hr_4,kcal_hr_5,kcal_hr_6,vh2o_1,vh2o_2,vh2o_3,vh2o_4,vh2o_5,vh2o_6
07-April-2022 09:34:31,0.6624788,-2.145428E-02,0.3777786,-1.007325E-02,0.6106955,3.715801,0.4357612,7.048957E-03,0.2573596,1.166813E-02,0.4120514,3.026047,0.6579137,-0.7379707,0.6813722,2.316008,0.6754916,0.8149258,0.1855669,-4.605311E-03,0.1064079,-1.607623E-03,0.1717488,1.079447,1.578296E-02,7.17047E-03,0.0101793,6.912292E-03,1.722792E-02,9.419644E-02
07-April-2022 09:36:31,0.6840791,-9.956663E-03,0.4925456,-2.113435E-02,0.720715,2.447047,0.4982975,1.942189E-02,0.3238433,1.140082E-02,0.4951069,2.038677,0.7294456,-1.052292,0.657582,-0.1468783,0.6859533,0.8338375,0.1948244,-1.065516E-03,0.1379573,-4.241933E-03,0.2032756,0.7139152,3.687523E-02,0.0174066,1.656874E-02,1.111422E-02,2.677453E-02,6.634836E-02
07-April-2022 09:38:51,0.70032,7.385793E-02,0.4096479,-0.0136146,0.666042,3.363867,0.4781045,8.334441E-02,0.2638279,9.843255E-03,0.4845858,2.673082,0.6831639,0.1432116,0.6442628,-0.9218017,0.7282224,0.79533,0.1973247,2.299518E-02,0.1143729,-2.56611E-03,0.1896494,0.9728057,0.0362737,2.356506E-02,1.924689E-02,4.294301E-03,2.739176E-02,8.729564E-02
07-April-2022 09:41:09,0.700873,,,,,,0.4781882,,,,,,0.6827294,,,,,,0.197461,,,,,,3.628705E-02,,,,,
