Date_Time_1,vo2_1,vo2_2,vo2_3,vo2_4,vo2_5,vco2_1,vco2_2,vco2_3,vco2_4,vco2_5,rq_1,rq_2,rq_3,rq_4,rq_5,kcal_hr_1,kcal_hr_2,kcal_hr_3,kcal_hr_4,kcal_hr_5,vh2o_1,vh2o_2,vh2o_3,vh2o_4,vh2o_5
01-April-2022 17:01:23,0.2433215,1.185573E-02,0.2662269,1.489644E-02,0.2618463,0.1608712,4.933958E-03,0.1767616,5.714096E-03,0.1814553,0.6613241,0.5603922,0.6645305,0.5596871,0.6928995,6.821121E-02,3.130823E-03,7.468423E-02,3.901601E-03,7.395755E-02,-3.57623E-04,-3.044952E-03,2.182865E-03,-6.102605E-03,5.64269E-03
01-April-2022 17:03:03,0.2152262,2.56233E-03,0.2492538,7.071657E-03,0.2031232,0.1430805,3.510237E-03,0.1824081,3.847766E-03,0.1301421,0.6651461,-1.963898,0.7361407,-2.846215,0.6405104,6.038722E-02,8.417844E-04,7.102793E-02,1.927502E-03,5.666737E-02,3.713634E-04,-1.037752E-02,-4.251417E-03,-2.352549E-02,-6.876368E-03
01-April-2022 17:05:03,0.2746479,4.128055E-02,0.2214578,-1.918579E-03,0.250429,0.1767028,3.486468E-02,0.1392602,1.795407E-03,0.1580828,0.6435233,0.2766708,0.6292936,-0.3190941,0.631591,7.666923E-02,1.207482E-02,6.160721E-02,-3.345239E-04,6.970682E-02,-1.078885E-02,-1.545488E-02,-1.833851E-02,-2.628544E-02,-1.963861E-02
01-April-2022 17:06:41,0.2752188,,,,,0.1770387,,,,,0.6433759,,,,,7.682654E-02,,,,,-1.087102E-02,,,,
