Date_Time_1,vo2_1,vo2_2,vo2_3,vo2_4,vo2_5,vco2_1,vco2_2,vco2_3,vco2_4,vco2_5,rq_1,rq_2,rq_3,rq_4,rq_5,kcal_hr_1,kcal_hr_2,kcal_hr_3,kcal_hr_4,kcal_hr_5,vh2o_1,vh2o_2,vh2o_3,vh2o_4,vh2o_5
31-March-2022 09:27:55,0.2124767,0.0186703,0.1692534,2.796326E-02,0.1820849,0.1241909,8.205568E-03,0.1026899,1.438844E-02,0.1158748,0.5858322,0.5595345,0.6074545,0.5492685,0.6369706,5.848355E-02,4.959302E-03,4.683714E-02,7.56701E-03,5.074526E-02,-1.758594E-03,-4.434291E-03,3.86725E-03,-7.030159E-03,3.905594E-03
31-March-2022 09:29:35,0.1670029,2.597884E-03,0.1580253,9.775603E-03,0.1632479,0.1141803,1.288647E-03,0.1108478,-7.459852E-04,0.0957598,0.6877736,-0.1207708,0.701424,0.7431785,0.5921692,4.709538E-02,6.998103E-04,4.488223E-02,2.262036E-03,4.495621E-02,2.223378E-03,-1.323397E-02,-4.660829E-03,-1.927468E-02,-5.515324E-03
31-March-2022 09:31:35,0.1845261,7.221194E-03,0.1603359,9.288447E-03,0.1630538,0.1055889,1.309738E-03,7.592962E-02,-5.376238E-03,8.393234E-02,0.5725334,1.458333,0.4752459,-5.328773E-02,0.5155741,5.063992E-02,1.794438E-03,4.295172E-02,1.839579E-03,4.412943E-02,-1.009066E-02,-1.431689E-02,-1.840884E-02,-0.0182156,-1.518215E-02
31-March-2022 09:33:11,0.1847232,,,,,0.1056313,,,,,0.5721115,,,,,5.068934E-02,,,,,-1.014277E-02,,,,
