Date_Time_1,vo2_1,vo2_2,vo2_3,vo2_4,vo2_5,vco2_1,vco2_2,vco2_3,vco2_4,vco2_5,rq_1,rq_2,rq_3,rq_4,rq_5,kcal_hr_1,kcal_hr_2,kcal_hr_3,kcal_hr_4,kcal_hr_5,vh2o_1,vh2o_2,vh2o_3,vh2o_4,vh2o_5
03-April-2022 08:21:46,0.3341157,4.493057E-02,0.1755385,9.619743E-03,0.3004314,0.2275931,5.337951E-02,0.1156449,2.357898E-02,0.2106277,0.6797296,-0.2367037,0.6597347,0.238047,0.7012269,9.410809E-02,1.416655E-02,4.918203E-02,3.839385E-03,8.501675E-02,5.674772E-04,1.672648E-03,2.637985E-03,3.030319E-04,9.932421E-03
03-April-2022 08:23:26,0.4909412,-1.820827E-02,0.1884026,-5.406065E-05,0.3328077,0.3737306,-1.829942E-03,0.1288266,1.586172E-03,0.2051946,0.7595212,0.5643424,0.6842194,1.439023,0.6222792,0.1408887,-4.426963E-03,5.309862E-02,1.787498E-04,9.243146E-02,7.389749E-03,-4.680751E-03,-3.113374E-03,-1.945869E-02,-6.830068E-03
03-April-2022 08:25:26,0.2893076,-1.568035E-02,0.1871901,-1.975661E-02,0.3290571,0.1671689,2.161098E-03,0.1181084,3.310417E-03,0.2371458,0.5774695,-9.402684E-02,0.6313102,-0.1532058,0.7226475,7.950299E-02,-3.578623E-03,5.209635E-02,-4.444062E-03,0.0934817,1.183376E-02,-1.289808E-03,1.392892E-04,-7.028381E-03,9.484704E-03
03-April-2022 08:27:06,0.2698601,-3.19775E-03,0.1871689,1.565669E-02,0.2517088,0.1690403,4.138137E-03,0.1331779,1.920405E-02,0.1583729,0.6266581,-16.3075,0.7112691,0.4096615,0.6291698,7.502863E-02,-4.815332E-04,5.309982E-02,4.976561E-03,7.002869E-02,2.223322E-02,-1.867518E-03,1.567142E-02,1.859782E-02,3.642544E-02
03-April-2022 08:29:02,0.2694936,,,,,0.1689963,,,,,0.6273032,,,,,7.493906E-02,,,,,2.234938E-02,,,,
