Date_Time_1,vo2_1,vo2_2,vo2_3,vo2_4,vo2_5,vco2_1,vco2_2,vco2_3,vco2_4,vco2_5,rq_1,rq_2,rq_3,rq_4,rq_5,kcal_hr_1,kcal_hr_2,kcal_hr_3,kcal_hr_4,kcal_hr_5,vh2o_1,vh2o_2,vh2o_3,vh2o_4,vh2o_5
02-April-2022 08:52:09,0.2770483,3.790948E-02,0.2748744,3.227245E-02,0.2854922,0.1834017,1.678718E-02,0.1781547,1.121766E-02,0.1776825,0.6621426,0.4581515,0.648227,0.3495008,0.6225279,7.768138E-02,1.007807E-02,7.681847E-02,8.375548E-03,7.929794E-02,-6.737602E-03,-5.890131E-03,-2.783893E-03,-1.061892E-02,-2.06879E-03
02-April-2022 08:53:49,0.3033954,3.128985E-02,0.2552499,3.894022E-02,0.2783381,0.1956126,6.690209E-03,0.1486644,3.235491E-03,0.1618134,0.6446494,0.2135676,0.5823942,8.824063E-02,0.5807508,8.472089E-02,7.84276E-03,7.022177E-02,9.446122E-03,7.655376E-02,-6.31775E-03,-1.393985E-02,-4.911298E-03,-1.672503E-02,-6.563773E-04
02-April-2022 08:55:49,0.28298,2.835516E-02,0.2408996,1.972867E-02,0.2310509,0.1791257,1.287159E-03,0.1512543,-1.480426E-03,0.1485352,0.6321337,5.266166E-02,0.6277106,-4.319771E-02,0.6382395,7.880815E-02,6.808046E-03,6.699547E-02,4.59133E-03,6.441578E-02,-3.45597E-03,-1.607082E-02,-3.898577E-03,-0.0118806,8.548452E-03
02-April-2022 08:57:29,0.2769006,-1.53645E-03,0.1407686,-1.876711E-02,0.2010183,0.2070191,-1.708072E-03,0.1171289,-2.337666E-03,0.1339554,0.7476181,-0.2095738,0.8345013,0.1334078,0.6663839,7.921371E-02,-4.766566E-04,4.105882E-02,-4.592798E-03,5.642206E-02,7.459836E-03,-1.479374E-03,0.0123954,6.985391E-03,2.915154E-02
02-April-2022 08:59:26,0.2769104,,,,,0.2070876,,,,,0.7478342,,,,,7.922056E-02,,,,,7.480218E-03,,,,
