Date_Time_1,vo2_1,vo2_2,vo2_3,vo2_4,vo2_5,vo2_6,vco2_1,vco2_2,vco2_3,vco2_4,vco2_5,vco2_6,rq_1,rq_2,rq_3,rq_4,rq_5,rq_6,kcal_hr_1,kcal_hr_2,kcal_hr_3,kcal_hr_4,kcal_hr_5,kcal_hr_6,vh2o_1,vh2o_2,vh2o_3,vh2o_4,vh2o_5,vh2o_6
05-April-2022 16:16:35,0.4611933,1.521866E-02,0.3143581,-9.390699E-03,0.5353776,2.456146,0.3264164,1.397595E-02,0.2253316,7.651574E-03,0.3989602,2.19697,0.7080784,0.9685372,0.7165349,-0.7165536,0.745186,0.8947431,0.1307147,4.526049E-03,8.928613E-02,-1.712766E-03,0.1530617,0.7265713,-9.493451E-03,1.35589E-03,1.183651E-03,3.187304E-03,1.294743E-02,3.305998E-02
05-April-2022 16:18:35,0.5471103,-3.196359E-02,0.3369862,-1.797839E-02,0.5304882,3.030705,0.4152028,9.714156E-03,0.2546357,3.729606E-03,0.3607534,2.608116,0.7598239,-0.3291499,0.7557377,-0.1540673,0.6803377,0.8602621,0.1569225,-6.913478E-03,9.658138E-02,-4.003675E-03,0.1493796,0.889715,2.647005E-03,2.85068E-03,9.698911E-04,2.683813E-03,1.425202E-02,1.537378E-02
05-April-2022 16:20:56,0.5489997,,,,,,0.4168885,,,,,,0.760374,,,,,,0.1574812,,,,,,2.781341E-03,,,,,
