Date_Time_1,vo2_1,vo2_2,vo2_3,vo2_4,vo2_5,vo2_6,vco2_1,vco2_2,vco2_3,vco2_4,vco2_5,vco2_6,rq_1,rq_2,rq_3,rq_4,rq_5,rq_6,kcal_hr_1,kcal_hr_2,kcal_hr_3,kcal_hr_4,kcal_hr_5,kcal_hr_6,vh2o_1,vh2o_2,vh2o_3,vh2o_4,vh2o_5,vh2o_6
06-April-2022 16:22:46,0.6041842,1.806986E-02,0.3471663,3.862734E-02,0.5917662,2.111421,0.4050536,0.0252498,0.2332813,0.0498133,0.4088904,1.630835,0.6705044,1.471028,0.6721931,-0.3412565,0.6909544,0.7728637,0.1697447,5.948375E-03,9.757149E-02,1.243943E-02,0.167063,0.6074889,-3.070744E-02,3.398171E-04,-4.567862E-03,-0.0055482,-7.892175E-03,1.200122E-02
06-April-2022 16:24:46,0.701694,-3.601706E-02,0.3772253,4.105394E-02,0.688832,2.431374,0.5303488,4.322718E-03,0.2716404,4.181963E-02,0.4561058,1.906953,0.7564501,-0.1683926,0.7205309,0.36922,0.6623597,0.7838973,0.2011165,-8.229739E-03,0.1072248,1.248277E-02,0.1931484,0.7014682,-1.280014E-02,-4.40871E-03,-7.315781E-03,-4.568381E-03,-4.45839E-04,1.896089E-02
06-April-2022 16:27:06,0.6401312,-2.881179E-02,0.360717,-2.305592E-02,0.6161608,2.341424,0.4431114,2.449227E-03,0.2420594,3.038534E-03,0.4138268,1.806034,0.692594,-7.848029E-02,0.6714274,-0.1744407,0.671831,0.771284,0.1807703,-6.650305E-03,0.1013582,-5.250166E-03,0.1731589,0.6735015,-1.86907E-03,-1.615517E-03,-6.189384E-03,-2.437819E-03,-6.554533E-03,2.008396E-02
06-April-2022 16:29:22,0.6397146,,,,,,0.4424047,,,,,,0.6919957,,,,,,0.1806249,,,,,,-1.770206E-03,,,,,
