Date_Time_1,vo2_1,vo2_2,vo2_3,vo2_4,vo2_5,vco2_1,vco2_2,vco2_3,vco2_4,vco2_5,rq_1,rq_2,rq_3,rq_4,rq_5,kcal_hr_1,kcal_hr_2,kcal_hr_3,kcal_hr_4,kcal_hr_5,vh2o_1,vh2o_2,vh2o_3,vh2o_4,vh2o_5
01-April-2022 09:25:56,0.2278043,-1.489409E-02,0.1846943,-2.241763E-02,0.1699765,0.1590502,7.419987E-03,0.152604,6.99519E-03,0.1240103,0.6990323,-0.5474601,0.8259858,-0.1751039,0.7290795,6.442968E-02,-3.029467E-03,5.379961E-02,-4.836672E-03,4.842198E-02,2.878065E-03,1.117739E-03,2.982793E-03,-2.678332E-03,4.315971E-03
01-April-2022 09:27:36,0.2244419,-2.103215E-02,0.1555535,-1.72531E-03,0.2364675,0.1626395,1.727227E-03,0.1260546,3.335997E-04,0.1644741,0.7248143,-0.1223879,0.8034573,-0.8147581,0.6988245,6.386043E-02,-4.850273E-03,4.502364E-02,-3.794346E-04,6.682239E-02,1.814943E-03,-6.550618E-03,-1.294901E-03,-0.0196562,-7.859567E-03
01-April-2022 09:29:36,0.2294441,-1.558504E-02,0.1524002,-1.267766E-02,0.2075491,0.146792,-2.735709E-03,8.721878E-02,-3.909074E-04,0.1272658,0.6399242,0.3655855,0.5725338,-2.188678,0.6130993,6.399547E-02,-3.866779E-03,0.0418244,-0.0030237,5.752242E-02,-8.615696E-03,-2.044332E-02,-8.802349E-03,-1.571903E-02,-1.866226E-02
01-April-2022 09:31:13,0.2295036,,,,,0.14683,,,,,0.6399242,,,,,6.401205E-02,,,,,-8.617928E-03,,,,
