"pup_ID","pup_no","cage","sex","DOB_dam.dd.mm.yyyy","DOB_pup.dd.mm.yyyy","Exclude","Exclude_Notes","AEC","Experiment_type","Experiment_name","challenge_stat","challenge_dose","challenge_visit","treatment_dose","treatment_visit","sacrifice_type","sacrifice_time.hh.mm","sacrifice_date.dd.mm.yyyy","group","outcome","sac_hpc","visit","visit_type","visit.name","date.dd.mm.yyyy","time.hh.mm","time2.hh.mm","score.1","score.2","weight","pos","order","temp","temp2","done.by","notes","visit_date","hours_post_challenge","expdate"
"DAM",NA,22811,"F","12.12.2021",NA,NA,NA,363,"survival","2022_March_30_healhy_empty cages_dam",NA,NA,NA,NA,NA,NA,"NA",NA,"dam",NA,NA,"v1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"300322"
"DAM",NA,22811,"F","12.12.2021",NA,NA,NA,363,"survival","2022_March_30_healhy_empty cages_dam",NA,NA,NA,NA,NA,NA,"NA",NA,"dam",NA,NA,"v2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"300322"
"DAM",NA,22811,"F","12.12.2021",NA,NA,NA,363,"survival","2022_March_30_healhy_empty cages_dam",NA,NA,NA,NA,NA,NA,"NA",NA,"dam",NA,NA,"v3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"300322"
"DAM",NA,22811,"F","12.12.2021",NA,NA,NA,363,"survival","2022_March_30_healhy_empty cages_dam",NA,NA,NA,NA,NA,NA,"NA",NA,"dam",NA,NA,"v4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"300322"
"DAM",NA,22811,"F","12.12.2021",NA,NA,NA,363,"survival","2022_March_30_healhy_empty cages_dam",NA,NA,NA,NA,NA,NA,"NA",NA,"dam",NA,NA,"v5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"300322"
"DAM",NA,22811,"F","12.12.2021",NA,NA,NA,363,"survival","2022_March_30_healhy_empty cages_dam",NA,NA,NA,NA,NA,NA,"NA",NA,"dam",NA,NA,"v6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"300322"
"DAM",NA,22811,"F","12.12.2021",NA,NA,NA,363,"survival","2022_March_30_healhy_empty cages_dam",NA,NA,NA,NA,NA,NA,"NA",NA,"dam",NA,NA,"v7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"300322"
"DAM",NA,22811,"F","12.12.2021",NA,NA,NA,363,"survival","2022_March_30_healhy_empty cages_dam",NA,NA,NA,NA,NA,NA,"NA",NA,"dam",NA,NA,"v8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"300322"
"DAM",NA,22811,"F","12.12.2021",NA,NA,NA,363,"survival","2022_March_30_healhy_empty cages_dam",NA,NA,NA,NA,NA,NA,"NA",NA,"dam",NA,NA,"v9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"300322"
"DAM",NA,22811,"F","12.12.2021",NA,NA,NA,363,"survival","2022_March_30_healhy_empty cages_dam",NA,NA,NA,NA,NA,NA,"NA",NA,"dam",NA,NA,"v10",NA,"monitor","03/04/22",16.45,17.03,NA,NA,22.73,NA,NA,NA,NA,"NA",NA,2022-04-03 16:45:00,NA,"300322"
"DAM",NA,22811,"F","12.12.2021",NA,NA,NA,363,"survival","2022_March_30_healhy_empty cages_dam",NA,NA,NA,NA,NA,NA,"NA",NA,"dam",NA,NA,"v11",NA,"monitor","04/04/22",6.37,6.58,NA,NA,24.18,NA,NA,NA,NA,"NA",NA,2022-04-04 06:37:00,NA,"300322"
